               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.043082,            0.024773,            0.012881,           0.0044536,             0.30828,            0.005387,           0.0012856,             0.03968,            0.016825,            0.012545,              0.1335,          0.00096745,          0.00096745
                   1,            0.038731,             0.02638,            0.012535,           0.0073963,             0.51459,            0.017129,           0.0040904,            0.033515,             0.01842,            0.012096,            0.079149,           0.0019475,           0.0019475
                   2,            0.033047,            0.027504,            0.011995,            0.010104,             0.72385,            0.071359,            0.017982,            0.027523,             0.01947,            0.011695,            0.024791,           0.0029171,           0.0029171
                   3,            0.027503,             0.02883,            0.011507,             0.05028,             0.51293,            0.085264,            0.019975,            0.024968,            0.018891,            0.011414,           0.0032869,           0.0032869,           0.0032869
                   4,            0.025023,            0.028975,             0.01131,            0.097264,             0.67233,             0.16901,            0.047258,            0.022687,            0.017959,             0.01119,           0.0032869,           0.0032869,           0.0032869
                   5,            0.023162,            0.028426,            0.011087,             0.20151,             0.56777,             0.24847,            0.084962,            0.020909,            0.017211,            0.010968,           0.0032691,           0.0032691,           0.0032691
                   6,            0.022328,            0.027725,            0.010853,             0.33658,             0.41492,             0.30314,            0.087684,            0.022384,            0.015924,            0.010702,           0.0032514,           0.0032514,           0.0032514
                   7,            0.021317,            0.025852,            0.010751,             0.40291,             0.39486,             0.35071,             0.10452,            0.020895,            0.015652,            0.010535,           0.0032337,           0.0032337,           0.0032337
                   8,            0.020959,            0.026401,            0.010552,             0.42025,             0.53039,             0.39115,             0.12049,            0.020356,            0.015232,            0.010388,            0.003216,            0.003216,            0.003216
                   9,            0.020129,            0.025895,            0.010434,             0.40262,             0.54529,             0.39594,             0.13167,            0.018869,            0.014939,            0.010209,           0.0031983,           0.0031983,           0.0031983
                  10,            0.020326,            0.024849,             0.01034,             0.44484,             0.59331,              0.4348,             0.13545,            0.020496,            0.014288,           0.0099923,           0.0031806,           0.0031806,           0.0031806
                  11,            0.019393,            0.024031,            0.010084,             0.44035,              0.6007,             0.45029,             0.13739,            0.020076,            0.014072,           0.0098651,           0.0031628,           0.0031628,           0.0031628
                  12,            0.019016,            0.024448,           0.0099471,             0.40153,             0.63406,             0.44028,             0.16863,            0.018448,            0.014037,           0.0096786,           0.0031451,           0.0031451,           0.0031451
                  13,            0.018717,            0.024122,           0.0098529,             0.45967,             0.66887,             0.51172,             0.23389,            0.016101,            0.014088,           0.0095152,           0.0031274,           0.0031274,           0.0031274
                  14,            0.018371,            0.023237,           0.0096535,             0.42598,             0.66647,              0.4959,             0.20582,            0.017719,            0.013726,           0.0093128,           0.0031097,           0.0031097,           0.0031097
                  15,            0.018268,            0.023444,           0.0095608,             0.44687,             0.68821,             0.52618,             0.20901,            0.017977,            0.013513,            0.009181,            0.003092,            0.003092,            0.003092
                  16,            0.018361,             0.02319,           0.0093577,             0.43238,             0.67394,              0.5027,             0.17402,            0.018293,            0.013289,           0.0090336,           0.0030743,           0.0030743,           0.0030743
                  17,            0.017738,            0.022577,           0.0092277,             0.47238,              0.7257,             0.56976,             0.23468,            0.015569,            0.013379,           0.0088644,           0.0030566,           0.0030566,           0.0030566
                  18,            0.017643,            0.023116,           0.0092421,             0.51622,             0.76737,             0.61528,              0.2951,            0.016302,            0.013077,           0.0087297,           0.0030388,           0.0030388,           0.0030388
                  19,            0.017358,            0.022218,           0.0089643,              0.5087,             0.75437,             0.61287,             0.23344,            0.017495,            0.012976,           0.0085976,           0.0030211,           0.0030211,           0.0030211
                  20,            0.017077,            0.022827,           0.0088923,             0.51622,               0.771,             0.62955,             0.25628,            0.017308,            0.012798,            0.008502,           0.0030034,           0.0030034,           0.0030034
                  21,            0.016924,            0.023034,           0.0088276,             0.53836,             0.78778,             0.65818,              0.3459,            0.013352,            0.013067,           0.0083325,           0.0029857,           0.0029857,           0.0029857
                  22,            0.016964,            0.021985,           0.0086805,             0.54271,             0.77855,              0.6565,             0.25773,            0.018145,             0.01246,           0.0082055,            0.002968,            0.002968,            0.002968
                  23,            0.016883,            0.022377,             0.00855,             0.54271,             0.77757,             0.66474,              0.2377,            0.018309,            0.012415,           0.0080566,           0.0029503,           0.0029503,           0.0029503
                  24,            0.016504,            0.021918,            0.008395,             0.56519,             0.77973,             0.67679,              0.2358,             0.01791,            0.012463,           0.0079411,           0.0029325,           0.0029325,           0.0029325
                  25,            0.016088,            0.021434,           0.0083106,             0.59194,             0.76662,             0.68656,             0.26753,            0.017349,            0.012468,           0.0077839,           0.0029148,           0.0029148,           0.0029148
                  26,            0.016282,            0.022154,           0.0082314,             0.61554,             0.78252,             0.70739,             0.29468,            0.016038,            0.012415,           0.0076337,           0.0028971,           0.0028971,           0.0028971
                  27,            0.016216,             0.02188,           0.0081219,             0.62354,             0.79185,             0.71662,             0.37692,            0.014001,            0.012469,           0.0075125,           0.0028794,           0.0028794,           0.0028794
                  28,            0.015858,             0.02177,           0.0078953,              0.6101,             0.78854,             0.72625,             0.37987,            0.013625,            0.012443,           0.0073261,           0.0028617,           0.0028617,           0.0028617
                  29,            0.015334,            0.021512,           0.0077893,              0.6358,             0.81878,             0.74942,             0.41332,            0.012314,            0.012444,           0.0071779,            0.002844,            0.002844,            0.002844
                  30,             0.01591,            0.021587,           0.0076099,              0.6441,             0.80131,             0.72868,             0.29576,            0.017317,            0.012031,           0.0070079,           0.0028262,           0.0028262,           0.0028262
                  31,            0.015633,            0.021791,           0.0075033,             0.64364,             0.82135,             0.73642,             0.28008,            0.017482,            0.012145,           0.0068981,           0.0028085,           0.0028085,           0.0028085
                  32,            0.015325,            0.022026,           0.0073781,              0.6487,             0.82024,             0.74606,             0.34923,            0.015733,            0.012159,           0.0067028,           0.0027908,           0.0027908,           0.0027908
                  33,            0.015304,            0.021995,           0.0071599,             0.65559,             0.82603,             0.74958,             0.29508,            0.017022,            0.012014,           0.0065372,           0.0027731,           0.0027731,           0.0027731
                  34,            0.015325,            0.020832,           0.0070317,             0.65481,             0.82977,             0.75851,             0.35035,            0.015146,            0.012177,             0.00638,           0.0027554,           0.0027554,           0.0027554
                  35,            0.015555,            0.020923,           0.0069698,             0.68298,             0.85926,             0.77568,             0.37937,            0.013802,            0.012191,           0.0062234,           0.0027377,           0.0027377,           0.0027377
                  36,            0.015291,            0.021204,           0.0067771,             0.67797,             0.85834,             0.78009,             0.44246,            0.012351,            0.012149,           0.0060847,             0.00272,             0.00272,             0.00272
                  37,            0.015465,             0.02188,           0.0066591,             0.66848,             0.85858,             0.77715,             0.41789,            0.012866,            0.012119,             0.00596,           0.0027022,           0.0027022,           0.0027022
                  38,            0.015221,            0.020909,           0.0065013,             0.68483,             0.86176,             0.79302,             0.41785,              0.0137,            0.011987,            0.005807,           0.0026845,           0.0026845,           0.0026845
                  39,            0.014978,            0.020547,              0.0064,             0.64259,             0.82835,             0.77588,              0.3767,            0.014646,            0.011974,           0.0057252,           0.0026668,           0.0026668,           0.0026668
                  40,            0.014902,            0.021005,           0.0063118,             0.68797,              0.8746,             0.80721,             0.44724,            0.012962,            0.011988,           0.0056287,           0.0026491,           0.0026491,           0.0026491
                  41,            0.014825,            0.020779,           0.0062697,             0.67971,             0.85002,             0.78349,             0.30866,            0.016298,             0.01186,           0.0054925,           0.0026314,           0.0026314,           0.0026314
                  42,            0.014764,            0.020754,           0.0061332,             0.69658,             0.88436,             0.80658,             0.45944,            0.012201,            0.011964,           0.0053996,           0.0026137,           0.0026137,           0.0026137
                  43,            0.014898,            0.020483,           0.0060376,             0.69316,             0.86569,             0.80741,             0.36162,            0.015391,            0.011769,           0.0053032,           0.0025959,           0.0025959,           0.0025959
                  44,            0.014414,            0.021217,           0.0059605,             0.70009,             0.87607,             0.81765,             0.45673,            0.012516,            0.011858,           0.0052604,           0.0025782,           0.0025782,           0.0025782
                  45,            0.014519,            0.021432,           0.0056728,             0.71532,             0.88519,             0.82312,             0.44149,            0.013859,            0.011865,           0.0051408,           0.0025605,           0.0025605,           0.0025605
                  46,            0.014831,            0.021533,           0.0056677,             0.70332,             0.88378,             0.82754,             0.45702,            0.012449,            0.011891,           0.0050405,           0.0025428,           0.0025428,           0.0025428
                  47,            0.014656,            0.021648,           0.0057029,             0.70898,             0.88704,             0.83078,             0.46099,            0.012244,            0.011888,           0.0050231,           0.0025251,           0.0025251,           0.0025251
                  48,            0.014275,            0.020572,           0.0056413,             0.71643,             0.88469,             0.83608,               0.442,            0.013461,            0.011754,           0.0049227,           0.0025074,           0.0025074,           0.0025074
                  49,            0.013922,            0.020622,           0.0056061,             0.72504,             0.89685,             0.83715,             0.42787,            0.015197,            0.011548,           0.0048653,           0.0024897,           0.0024897,           0.0024897
                  50,            0.014252,            0.020871,           0.0055274,             0.72319,             0.88897,             0.84706,             0.46274,            0.013024,            0.011706,           0.0048253,           0.0024719,           0.0024719,           0.0024719
                  51,            0.014398,            0.020894,           0.0054446,             0.71914,             0.87626,             0.83868,             0.39186,            0.014887,            0.011633,           0.0047609,           0.0024542,           0.0024542,           0.0024542
                  52,            0.014297,            0.020897,           0.0056954,             0.73125,             0.88188,             0.84545,             0.42572,            0.014198,            0.011744,           0.0047551,           0.0024365,           0.0024365,           0.0024365
                  53,             0.01379,            0.020546,            0.005354,              0.7204,             0.88401,             0.84853,             0.37565,            0.015945,             0.01154,           0.0046373,           0.0024188,           0.0024188,           0.0024188
