               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09582,            0.050093,            0.026843,            0.079268,             0.31376,            0.065572,            0.015149,            0.068094,            0.034961,            0.025318,            0.070698,           0.0032558,           0.0032558
                   1,            0.071384,            0.044351,            0.023458,             0.17137,             0.50575,             0.16907,            0.051103,            0.066528,            0.022877,            0.021391,            0.040599,           0.0064903,           0.0064903
                   2,            0.068036,            0.037071,            0.021468,             0.28199,             0.57471,             0.32188,            0.094409,            0.060812,            0.016086,            0.018731,              0.0104,           0.0096248,           0.0096248
                   3,            0.063683,            0.034947,            0.019612,             0.34816,             0.63053,             0.42809,             0.17644,            0.049748,            0.017249,            0.016742,             0.00955,             0.00955,             0.00955
                   4,            0.054353,            0.033961,            0.018321,             0.43994,             0.75275,             0.58378,             0.19257,            0.050497,            0.014665,            0.014681,             0.00955,             0.00955,             0.00955
                   5,            0.049602,            0.031574,            0.016598,             0.55307,             0.78464,             0.68208,             0.31894,            0.041479,            0.013489,             0.01257,              0.0094,              0.0094,              0.0094
                   6,            0.048208,            0.030573,            0.014942,             0.79127,             0.79067,             0.84617,             0.45314,            0.033386,             0.01321,            0.010158,             0.00925,             0.00925,             0.00925
                   7,            0.045473,            0.029999,            0.012257,             0.87437,             0.82542,             0.92827,             0.53566,             0.03189,            0.012998,           0.0078238,              0.0091,              0.0091,              0.0091
                   8,            0.043095,            0.030505,            0.010135,             0.91515,             0.85409,             0.93586,             0.41289,            0.038532,            0.013338,           0.0067537,             0.00895,             0.00895,             0.00895
                   9,            0.043418,            0.030884,           0.0089194,             0.92139,              0.9159,              0.9616,             0.60518,            0.028221,            0.012551,            0.004903,              0.0088,              0.0088,              0.0088
                  10,            0.042278,            0.030876,           0.0077923,             0.91673,             0.92134,             0.95552,             0.57282,            0.029322,            0.012704,           0.0044963,             0.00865,             0.00865,             0.00865
                  11,            0.040474,            0.028819,           0.0071692,              0.9209,             0.90557,             0.95519,              0.5468,            0.031245,            0.012853,           0.0044215,              0.0085,              0.0085,              0.0085
                  12,            0.039064,            0.029387,           0.0064721,             0.94673,             0.93961,             0.97212,             0.61165,            0.029579,             0.01241,           0.0037449,             0.00835,             0.00835,             0.00835
                  13,            0.038912,            0.028004,           0.0062989,             0.87763,             0.91753,             0.95572,             0.47631,            0.039674,            0.013057,           0.0035544,              0.0082,              0.0082,              0.0082
                  14,            0.040132,            0.030003,           0.0063794,             0.94335,             0.94198,             0.97584,             0.52856,            0.036004,            0.012472,           0.0027801,             0.00805,             0.00805,             0.00805
                  15,             0.03857,            0.028922,           0.0060046,             0.95408,              0.9343,             0.97481,             0.48241,            0.035521,            0.012895,           0.0032761,              0.0079,              0.0079,              0.0079
                  16,            0.037047,            0.028864,           0.0060644,             0.95491,             0.94394,             0.97839,             0.48765,            0.038091,             0.01284,            0.003033,             0.00775,             0.00775,             0.00775
                  17,            0.037643,             0.03045,            0.005523,              0.9433,             0.91965,             0.97015,             0.57687,            0.028289,            0.012514,           0.0038216,              0.0076,              0.0076,              0.0076
                  18,            0.035712,            0.028833,            0.005475,             0.96167,             0.94126,               0.977,             0.50145,            0.035722,            0.012703,           0.0027995,             0.00745,             0.00745,             0.00745
                  19,            0.035798,            0.026916,           0.0053669,             0.96509,             0.95085,             0.98041,             0.59494,            0.031766,            0.011926,           0.0025073,              0.0073,              0.0073,              0.0073
                  20,            0.034649,            0.027556,            0.005268,              0.9668,             0.94462,             0.98009,             0.58043,            0.030864,            0.012279,           0.0025898,             0.00715,             0.00715,             0.00715
                  21,            0.035189,            0.027923,           0.0055512,             0.96869,             0.93938,             0.97513,             0.64934,            0.026316,            0.011841,           0.0025322,               0.007,               0.007,               0.007
                  22,            0.034987,            0.027303,           0.0051425,             0.97533,             0.95116,             0.98093,             0.67285,            0.025149,            0.011718,           0.0023294,             0.00685,             0.00685,             0.00685
                  23,            0.033518,            0.027652,           0.0046237,             0.97624,             0.94784,             0.98018,             0.64287,            0.026314,            0.011672,           0.0024554,              0.0067,              0.0067,              0.0067
                  24,            0.033558,              0.0262,           0.0045835,             0.97351,             0.95559,             0.98161,             0.70095,            0.023752,            0.011434,           0.0022924,             0.00655,             0.00655,             0.00655
                  25,            0.034062,            0.027965,           0.0049441,             0.96468,              0.9493,             0.97817,             0.62749,            0.027881,            0.011792,           0.0022816,              0.0064,              0.0064,              0.0064
                  26,            0.032644,            0.027668,           0.0045884,             0.96253,             0.95425,             0.98013,             0.61705,            0.029091,            0.011608,           0.0024358,             0.00625,             0.00625,             0.00625
                  27,            0.033557,            0.026227,           0.0046135,             0.96608,             0.95468,             0.97996,             0.60849,            0.029905,            0.011601,           0.0022587,              0.0061,              0.0061,              0.0061
