               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.044546,            0.023524,            0.012621,           0.0039799,             0.26153,           0.0043954,          0.00099162,            0.038516,            0.014408,            0.012057,              0.1335,          0.00096745,          0.00096745
                   1,            0.038816,            0.025597,            0.012358,           0.0085741,             0.57307,            0.019871,           0.0046398,            0.031457,             0.01541,            0.011726,            0.079132,           0.0019302,           0.0019302
                   2,            0.033424,            0.025745,            0.011897,            0.012187,             0.86131,            0.069291,             0.01833,            0.026935,            0.014862,            0.011473,            0.024739,            0.002865,            0.002865
                   3,            0.028797,            0.024757,            0.011419,             0.14565,             0.38839,             0.14222,            0.038762,            0.023619,            0.013878,            0.011316,           0.0031983,           0.0031983,           0.0031983
                   4,            0.026838,             0.02422,            0.011277,             0.20005,              0.3692,             0.17471,            0.043236,            0.024187,            0.012328,            0.011009,           0.0031983,           0.0031983,           0.0031983
                   5,            0.025361,             0.02316,            0.010972,             0.23564,             0.46214,             0.25245,            0.079583,            0.021329,            0.011586,            0.010612,            0.003151,            0.003151,            0.003151
                   6,            0.023821,             0.02216,            0.010716,             0.30454,             0.46485,             0.30243,             0.10086,            0.020524,            0.010917,            0.010249,           0.0031038,           0.0031038,           0.0031038
                   7,            0.023683,            0.020457,            0.010516,             0.31302,             0.51984,             0.33385,             0.11015,            0.020738,            0.010487,            0.009945,           0.0030566,           0.0030566,           0.0030566
                   8,            0.022826,            0.021138,            0.010244,             0.34143,             0.56836,             0.36621,             0.14134,            0.020971,            0.010082,           0.0096867,           0.0030093,           0.0030093,           0.0030093
                   9,            0.022307,            0.020187,             0.01011,             0.45468,             0.64307,             0.46936,             0.16326,            0.019786,           0.0097275,           0.0094706,           0.0029621,           0.0029621,           0.0029621
                  10,            0.022169,             0.01994,           0.0099784,             0.42762,             0.60495,             0.48229,             0.21838,            0.017378,            0.009627,           0.0092596,           0.0029148,           0.0029148,           0.0029148
                  11,            0.021327,             0.01904,           0.0096801,             0.37362,             0.63336,             0.44415,             0.19269,            0.017765,           0.0094656,           0.0090562,           0.0028676,           0.0028676,           0.0028676
                  12,            0.021113,            0.019574,           0.0095155,              0.4845,             0.72811,             0.53804,             0.21756,            0.018794,           0.0092269,           0.0089072,           0.0028203,           0.0028203,           0.0028203
                  13,            0.020159,            0.018487,           0.0093928,             0.45547,               0.741,             0.56439,             0.26546,            0.015793,           0.0092177,           0.0086883,           0.0027731,           0.0027731,           0.0027731
                  14,            0.020434,             0.01873,           0.0092742,             0.43087,             0.72484,              0.5609,             0.23442,            0.016573,           0.0090729,            0.008519,           0.0027259,           0.0027259,           0.0027259
                  15,            0.020122,            0.018581,           0.0091442,             0.49685,              0.7691,             0.60503,             0.25238,            0.017306,           0.0089811,           0.0083828,           0.0026786,           0.0026786,           0.0026786
                  16,            0.019955,            0.018756,           0.0089745,             0.45294,              0.7566,             0.58297,             0.24274,            0.018191,           0.0088591,           0.0082128,           0.0026314,           0.0026314,           0.0026314
                  17,            0.019536,            0.018544,           0.0089347,             0.48824,             0.78725,             0.62648,              0.3086,            0.016083,           0.0087475,           0.0080918,           0.0025841,           0.0025841,           0.0025841
                  18,            0.019109,            0.018204,            0.008836,             0.49668,             0.80333,             0.63222,             0.28102,              0.0179,           0.0086909,           0.0079193,           0.0025369,           0.0025369,           0.0025369
                  19,            0.018913,            0.017804,           0.0085123,             0.51192,              0.7949,             0.65613,             0.28583,            0.017457,           0.0086814,           0.0077755,           0.0024897,           0.0024897,           0.0024897
                  20,            0.018604,            0.018202,           0.0085202,             0.51352,             0.80717,             0.67028,             0.31464,            0.015969,           0.0085824,           0.0076953,           0.0024424,           0.0024424,           0.0024424
                  21,            0.018569,             0.01842,           0.0083905,             0.52558,              0.7967,             0.69037,             0.35215,            0.015068,           0.0085278,           0.0075249,           0.0023952,           0.0023952,           0.0023952
                  22,            0.018504,            0.017905,           0.0083271,             0.51234,              0.7918,             0.67396,             0.29092,            0.016794,            0.008528,           0.0074126,           0.0023479,           0.0023479,           0.0023479
                  23,            0.018485,            0.018365,           0.0081825,             0.55684,             0.78976,              0.7285,             0.30133,            0.017442,           0.0085768,           0.0072622,           0.0023007,           0.0023007,           0.0023007
                  24,            0.017964,            0.017573,           0.0079189,              0.5818,             0.78753,             0.74846,             0.37664,            0.015227,           0.0084527,           0.0071061,           0.0022534,           0.0022534,           0.0022534
                  25,            0.017677,             0.01693,            0.007845,             0.61431,               0.747,             0.75444,             0.32752,            0.016851,           0.0084367,           0.0069408,           0.0022062,           0.0022062,           0.0022062
                  26,            0.017815,            0.017622,           0.0077994,             0.62795,             0.77887,             0.78012,              0.4269,            0.013985,           0.0083605,           0.0068089,            0.002159,            0.002159,            0.002159
                  27,            0.017925,            0.017512,           0.0076613,             0.64121,             0.77907,             0.79407,             0.40574,            0.014263,           0.0083613,           0.0066359,           0.0021117,           0.0021117,           0.0021117
                  28,            0.017281,            0.017499,           0.0074601,             0.67273,             0.75314,             0.80882,              0.4665,            0.013076,           0.0082539,           0.0064748,           0.0020645,           0.0020645,           0.0020645
                  29,            0.017042,            0.017032,           0.0074697,             0.68503,             0.74881,             0.80693,             0.42215,            0.014663,           0.0083402,           0.0063379,           0.0020172,           0.0020172,           0.0020172
                  30,            0.016978,            0.017321,           0.0070927,             0.69808,             0.77263,             0.82077,             0.34413,            0.016411,           0.0082843,           0.0061145,             0.00197,             0.00197,             0.00197
                  31,            0.017198,            0.017358,           0.0070876,             0.72112,             0.77495,             0.83416,             0.37729,            0.015555,           0.0082816,           0.0059761,           0.0019228,           0.0019228,           0.0019228
                  32,            0.016951,            0.017545,           0.0069555,             0.75725,             0.76279,              0.8497,             0.41882,            0.014692,           0.0082666,           0.0058164,           0.0018755,           0.0018755,           0.0018755
                  33,            0.016749,            0.017766,           0.0067484,             0.75961,             0.76589,             0.85276,             0.40368,            0.014466,           0.0082954,           0.0056507,           0.0018283,           0.0018283,           0.0018283
                  34,            0.016894,            0.016778,           0.0066555,             0.78837,             0.74669,             0.85117,             0.41901,            0.015028,           0.0083215,            0.005566,            0.001781,            0.001781,            0.001781
                  35,            0.016844,            0.016896,           0.0066356,              0.8083,             0.77795,             0.87624,             0.45201,            0.013763,           0.0082062,           0.0053847,           0.0017338,           0.0017338,           0.0017338
                  36,            0.016672,            0.017149,            0.006496,             0.82673,             0.78012,             0.88497,             0.49523,            0.012946,           0.0081311,            0.005244,           0.0016865,           0.0016865,           0.0016865
                  37,            0.016869,            0.017495,            0.006353,             0.84202,             0.78085,             0.88834,             0.47936,            0.013675,           0.0081435,           0.0051429,           0.0016393,           0.0016393,           0.0016393
                  38,            0.016555,            0.016893,            0.006182,             0.85071,             0.77704,             0.88991,             0.45262,            0.014426,           0.0081107,           0.0050179,           0.0015921,           0.0015921,           0.0015921
                  39,            0.015974,            0.016475,           0.0060741,             0.85808,              0.7846,             0.90099,             0.47321,            0.014171,           0.0081542,           0.0048637,           0.0015448,           0.0015448,           0.0015448
                  40,            0.016038,            0.016823,           0.0059411,             0.86675,             0.77871,             0.90431,             0.50095,            0.013217,            0.008122,           0.0047586,           0.0014976,           0.0014976,           0.0014976
                  41,             0.01642,            0.016805,           0.0058773,             0.85867,             0.78784,             0.89981,             0.39934,            0.015465,           0.0081567,           0.0046582,           0.0014503,           0.0014503,           0.0014503
                  42,            0.015764,            0.016469,           0.0057431,             0.87895,             0.78925,             0.91031,             0.49939,            0.013121,           0.0080414,           0.0045151,           0.0014031,           0.0014031,           0.0014031
                  43,            0.016238,             0.01685,           0.0056924,             0.87788,             0.80241,             0.91283,             0.46333,            0.013909,           0.0080631,           0.0044064,           0.0013559,           0.0013559,           0.0013559
                  44,            0.015465,            0.016895,           0.0055935,             0.87031,             0.81501,             0.91898,             0.46518,            0.013833,           0.0080863,           0.0043463,           0.0013086,           0.0013086,           0.0013086
