               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092168,            0.063908,            0.042964,             0.09421,             0.34773,            0.091822,            0.021416,             0.06363,             0.04261,            0.037564,            0.070698,           0.0032558,           0.0032558
                   1,            0.065802,            0.057892,            0.034988,              0.2427,             0.57904,             0.30401,            0.098459,            0.059251,            0.028376,            0.029047,             0.03961,           0.0055019,           0.0055019
                   2,            0.060536,            0.049551,            0.029358,             0.39339,             0.58278,             0.42251,             0.16126,            0.057348,            0.023398,            0.024768,           0.0074233,           0.0066481,           0.0066481
                   3,            0.054167,            0.044721,            0.025514,             0.53897,             0.70602,              0.6681,             0.32468,            0.044498,            0.021804,            0.019546,             0.00505,             0.00505,             0.00505
                   4,            0.049316,            0.042051,            0.020647,             0.55295,             0.68405,             0.63354,             0.25814,            0.049172,            0.020797,            0.013922,             0.00505,             0.00505,             0.00505
                   5,            0.043614,            0.040813,            0.016515,             0.83163,             0.82939,             0.89068,             0.48327,            0.035699,            0.020573,             0.01189,              0.0034,              0.0034,              0.0034
