               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092821,            0.064891,            0.043916,             0.19484,             0.33993,             0.15979,            0.039241,            0.064711,             0.04405,            0.039076,            0.070682,           0.0032576,           0.0032576
                   1,            0.067293,            0.057287,            0.036101,             0.17863,             0.42382,             0.16869,            0.054705,            0.063878,            0.030664,            0.031728,            0.039594,           0.0055034,           0.0055034
                   2,            0.060707,            0.050599,            0.031398,             0.35641,             0.59136,             0.48329,             0.18276,             0.05289,            0.024957,            0.027546,           0.0074068,           0.0066492,           0.0066492
                   3,            0.053289,            0.043071,            0.027387,             0.41994,             0.60828,             0.49521,             0.19718,             0.05236,            0.024596,            0.024334,             0.00505,             0.00505,             0.00505
                   4,            0.049837,            0.042632,            0.022825,             0.52974,              0.6912,             0.61501,             0.29126,            0.042182,            0.023007,            0.018193,             0.00505,             0.00505,             0.00505
                   5,            0.042941,            0.040083,            0.018101,             0.78425,             0.77774,             0.84231,             0.44512,            0.038266,            0.021625,            0.014461,              0.0034,              0.0034,              0.0034
